Time	LH_Ext_HC	LH_FLX_HC	
0	-0.05311756	-0.05315664	
0.0002	-0.05359187	-0.0536698	
0.0004	-0.05402158	-0.05413813	
0.0006	-0.05441194	-0.05456689	
0.0008	-0.05476719	-0.05496034	
0.0009999999	-0.05509087	-0.05532203	
0.0012	-0.05538601	-0.05565498	
0.0014	-0.0556552	-0.0559618	
0.0016	-0.05590076	-0.0562448	
0.0018	-0.05612471	-0.05650602	
0.002	-0.05632888	-0.05674728	
0.0022	-0.05651492	-0.05697022	
0.0024	-0.05668431	-0.05717636	
0.0026	-0.05683841	-0.05736702	
0.0028	-0.05697844	-0.05754345	
0.003	-0.05710553	-0.05770677	
0.0032	-0.05722071	-0.05785801	
0.0034	-0.0573249	-0.05799811	
0.0036	-0.05741898	-0.05812792	
0.0038	-0.05750371	-0.05824824	
0.004	-0.05757984	-0.05835979	
0.0042	-0.05764801	-0.05846323	
0.0044	-0.05770885	-0.05855919	
0.0046	-0.05776292	-0.05864822	
0.0048	-0.05781072	-0.05873084	
0.005	-0.05785273	-0.05880753	
0.0052	-0.0578894	-0.05887873	
0.0054	-0.05792113	-0.05894484	
0.0056	-0.05794829	-0.05900624	
0.0058	-0.05797122	-0.05906329	
0.006	-0.05799025	-0.05911629	
0.0062	-0.05800566	-0.05916553	
0.0064	-0.05801772	-0.05921131	
0.0066	-0.05802669	-0.05925386	
0.0068	-0.05803281	-0.05929342	
0.007	-0.05803627	-0.05933021	
0.0072	-0.05803728	-0.05936442	
0.0074	-0.05803603	-0.05939625	
0.0076	-0.05803268	-0.05942585	
0.0078	-0.05802739	-0.0594534	
0.007999999	-0.0580203	-0.05947904	
0.0082	-0.05801155	-0.0595029	
0.0084	-0.05800126	-0.05952511	
0.008599999	-0.05798956	-0.05954579	
0.0088	-0.05797654	-0.05956505	
0.009	-0.0579623	-0.05958298	
0.0092	-0.05794694	-0.05959969	
0.0094	-0.05793054	-0.05961525	
0.0096	-0.05791317	-0.05962975	
0.0098	-0.05789492	-0.05964326	
